onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.1	17.899	fakerating	23.1	3	75	F	2
28.516	17.904	fakerating	46.516	3	90	F	2
51.265	17.908	fakerating	69.265	3	36	F	4
74.081	17.904	fakerating	92.081	3	53	F	2
96.681	17.897	fakerating	114.68	3	89	F	1
120.297	17.9	fakerating	138.296	3	33	F	1
143.879	17.91	fakerating	161.879	3	76	F	1
166.879	17.908	fakerating	184.878	3	63	F	4
190.078	17.892	fakerating	208.077	3	62	F	4
213.244	17.904	fakerating	231.243	3	77	F	4
240.81	17.897	realrating	258.809	3	112	R	3
263.409	17.907	realrating	281.425	3	118	R	3
287.258	17.9	realrating	305.258	3	121	R	3
310.858	17.901	realrating	328.857	3	113	R	2
333.624	17.897	realrating	351.623	3	114	R	2
356.423	17.911	realrating	374.423	3	102	R	2
379.556	17.908	realrating	397.571	3	116	R	5
402.838	17.904	realrating	420.838	3	119	R	4
425.954	17.909	realrating	443.97	3	115	R	5
448.553	17.895	realrating	466.553	3	134	R	6
476.569	17.902	realrating	494.568	3	105	R	2
499.135	17.889	realrating	517.135	3	100	R	6
522.434	17.893	realrating	540.434	3	94	R	4
545.317	17.909	realrating	563.316	3	108	R	3
568.616	17.903	realrating	586.616	3	103	R	2
590.982	17.885	realrating	608.982	3	27	R	5
613.432	17.895	realrating	631.431	3	24	R	3
636.631	17.882	realrating	654.614	3	28	R	5
659.147	17.899	realrating	677.146	3	104	R	3
682.729	17.896	realrating	700.729	3	107	R	3
710.912	17.884	fakerating	728.895	3	85	F	2
734.494	17.895	fakerating	752.494	3	61	F	2
757.777	17.896	fakerating	775.776	3	72	F	1
780.81	17.897	fakerating	798.809	3	91	F	2
804.076	17.91	fakerating	822.075	3	58	F	2
827.075	17.895	fakerating	845.074	3	128	F	3
849.841	17.897	fakerating	867.84	3	57	F	2
873.54	17.907	fakerating	891.54	3	131	F	3
896.956	17.891	fakerating	914.955	3	127	F	1
920.589	17.905	fakerating	938.588	3	74	F	1
26.133	2.287	fixations	n/a	n/a	n/a	n/a	n/a
49.549	1.624	fixations	n/a	n/a	n/a	n/a	n/a
72.298	1.687	fixations	n/a	n/a	n/a	n/a	n/a
95.014	1.564	fixations	n/a	n/a	n/a	n/a	n/a
117.714	2.483	fixations	n/a	n/a	n/a	n/a	n/a
141.329	2.46	fixations	n/a	n/a	n/a	n/a	n/a
164.912	1.875	fixations	n/a	n/a	n/a	n/a	n/a
187.911	2.059	fixations	n/a	n/a	n/a	n/a	n/a
210.994	2.154	fixations	n/a	n/a	n/a	n/a	n/a
234.277	1.43	fixations	n/a	n/a	n/a	n/a	n/a
261.842	1.474	fixations	n/a	n/a	n/a	n/a	n/a
284.458	2.7	fixations	n/a	n/a	n/a	n/a	n/a
308.191	2.568	fixations	n/a	n/a	n/a	n/a	n/a
331.79	1.731	fixations	n/a	n/a	n/a	n/a	n/a
354.656	1.678	fixations	n/a	n/a	n/a	n/a	n/a
377.455	2.009	fixations	n/a	n/a	n/a	n/a	n/a
400.605	2.137	fixations	n/a	n/a	n/a	n/a	n/a
423.771	2.092	fixations	n/a	n/a	n/a	n/a	n/a
447.003	1.446	fixations	n/a	n/a	n/a	n/a	n/a
469.586	1.885	fixations	n/a	n/a	n/a	n/a	n/a
497.602	1.422	fixations	n/a	n/a	n/a	n/a	n/a
520.168	2.159	fixations	n/a	n/a	n/a	n/a	n/a
543.467	1.759	fixations	n/a	n/a	n/a	n/a	n/a
566.35	2.169	fixations	n/a	n/a	n/a	n/a	n/a
589.549	1.318	fixations	n/a	n/a	n/a	n/a	n/a
612.015	1.312	fixations	n/a	n/a	n/a	n/a	n/a
634.464	2.049	fixations	n/a	n/a	n/a	n/a	n/a
657.647	1.399	fixations	n/a	n/a	n/a	n/a	n/a
680.079	2.546	fixations	n/a	n/a	n/a	n/a	n/a
703.762	2.034	fixations	n/a	n/a	n/a	n/a	n/a
731.928	2.461	fixations	n/a	n/a	n/a	n/a	n/a
755.527	2.146	fixations	n/a	n/a	n/a	n/a	n/a
778.81	1.897	fixations	n/a	n/a	n/a	n/a	n/a
801.842	2.144	fixations	n/a	n/a	n/a	n/a	n/a
825.025	1.945	fixations	n/a	n/a	n/a	n/a	n/a
848.108	1.63	fixations	n/a	n/a	n/a	n/a	n/a
870.874	2.573	fixations	n/a	n/a	n/a	n/a	n/a
894.573	2.274	fixations	n/a	n/a	n/a	n/a	n/a
917.989	2.505	fixations	n/a	n/a	n/a	n/a	n/a
941.621	1.911	fixations	n/a	n/a	n/a	n/a	n/a
0.034	4.965	intro&rest	n/a	n/a	n/a	n/a	n/a
235.743	4.964	intro&rest	n/a	n/a	n/a	n/a	n/a
471.503	4.968	intro&rest	n/a	n/a	n/a	n/a	n/a
705.829	4.967	intro&rest	n/a	n/a	n/a	n/a	n/a
943.571	1.961	intro&rest	n/a	n/a	n/a	n/a	n/a
